real_or_fake,date,claim_id,tweet_id
fake,,100001,1252630938770649089
fake,,100001,1243968198111789058
fake,,100001,1242474839966765056
fake,,100001,1242461115616866304
fake,,100001,1242400142335983619
fake,,100001,1238131052582928385
fake,,100004,1252654573166051329
fake,,100004,1245384238897205250
fake,,100004,1244260009015377920
fake,,100004,1243536985744199680
fake,,100004,1243514215165562880
fake,,100004,1242958696780455936
fake,,100004,1242474843137703938
fake,,100004,1242400453700096001
fake,,100004,1236692357476691968
fake,,100004,1236692122725736452
fake,,100004,1236692012893704193
fake,,100004,1236691906211598337
fake,,100004,1236691668356796416
fake,,100004,1236627980086108161
fake,,100005,1245384783867400198
fake,,100005,1243969054139797506
fake,,100005,1243514400851611648
fake,,100005,1242958697606733824
fake,,100005,1241350499636367360
fake,,100005,1236692357476691968
fake,,100005,1236692122725736452
fake,,100005,1236692012893704193
fake,,100005,1236691906211598337
fake,,100005,1236691668356796416
fake,,100005,1236627980086108161
fake,,100005,1224095170477481984
fake,,100007,1245764856835342338
fake,,100007,1245385912902615040
fake,,100007,1244332460206260224
fake,,100007,1244286066460418049
fake,,100007,1244278779289059328
fake,,100007,1244232962524184576
fake,,100007,1243971778805764098
fake,,100007,1242958699624148992
fake,,100007,1242474835512446976
fake,,100007,1240542439510663169
fake,,100007,1240537749632872448
fake,,100007,1238410826320576512
fake,,100007,1238125038957670400
fake,,100007,1236627984683020288
fake,,100007,1234599421704392706
fake,,100008,1245386289442144260
fake,,100008,1242958700588851201
fake,,100011,1247125579343769602
fake,,100011,1245388295154139138
fake,,100011,1245291186073501696
fake,,100011,1245195389587914752
fake,,100011,1243922136026284032
fake,,100011,1243536985744199680
fake,,100011,1242433744792727552
fake,,100011,1239324720383705088
fake,,100011,1237401216671518721
fake,,100011,1236627984683020288
fake,,100012,1248734352499933185
fake,,100012,1245848656370073600
fake,,100012,1245786579131674626
fake,,100012,1245388515749347334
fake,,100012,1244796039011303424
fake,,100012,1243627724742242308
fake,,100012,1242958702556016640
fake,,100012,1240542439510663169
fake,,100012,1240537749632872448
fake,,100012,1236627984683020288
fake,,100013,1245388723568685056
fake,,100013,1242958703436824576
fake,,100013,1236627984683020288
fake,,100015,1245389974977069057
fake,,100015,1243972480999387143
fake,,100015,1236627986717323264
fake,,100019,1243627724742242308
fake,,100019,1242400453700096001
fake,,100019,1236627989036781569
fake,,100022,1251517138126270465
fake,,100022,1245392296092319755
fake,,100022,1243151242194489345
fake,,100022,1240247344131493888
fake,,100022,1236627989036781569
fake,,100001,1242474835512446976
fake,,100001,1242474843137703938
fake,,100001,1242388627943878657
fake,,100001,1242400453700096001
fake,,100004,1252652456040792064
fake,,100004,1252653453244952576
fake,,100004,1252656261109174272
fake,,100004,1243514311395250177
fake,,100004,1242958694108639232
fake,,100004,1242958694976913408
fake,,100004,1242958697606733824
fake,,100004,1242958698684669952
fake,,100004,1242958699624148992
fake,,100004,1242958700588851201
fake,,100004,1242958701532594179
fake,,100004,1242958702556016640
fake,,100004,1242958703436824576
fake,,100004,1242958704556687360
fake,,100004,1242958705647169536
fake,,100004,1236627984683020288
fake,,100004,1236627986717323264
fake,,100004,1236627989036781569
